i,j,term1,term2,term3,term4,d_cpp
4,24,-8.5198955962966834e-82,-8.0807354470718226e-82,-2.9740585372164838e-87,-1.2218625962824861e-157,-1.6600660783953878e-81
4,25,-4.5738268577798401e-79,-4.3380677179436804e-79,-1.5870435139952223e-84,-3.5213830147709388e-152,-8.911910446158661e-79
4,26,-2.4554164882070748e-76,-2.3288513826182305e-76,-8.5198955962966834e-82,-1.0148553838523382e-146,-4.7842763907209013e-76
4,27,-1.3181675472266796e-73,-1.2502222452382774e-73,-4.5738268577798401e-79,-2.9247924631143068e-141,-2.5683943662918146e-73
4,28,-7.0764601073048796e-71,-6.7117020611738675e-71,-2.4554164882070748e-76,-8.4291920685469047e-136,-1.3788186722643628e-70
4,29,-3.7989319154180319e-68,-3.6031149445257343e-68,-1.3181675472266796e-73,-2.4292759169927216e-130,-7.4020600416192389e-68
4,30,-2.0394213320137269e-65,-1.93429880902581e-65,-7.0764601073048796e-71,-7.0011235156231963e-125,-3.9737272174996435e-65
4,31,-1.0948444094489552e-62,-1.0384103588710655e-62,-3.7989319154180319e-68,-2.0177094803496116e-119,-2.1332585672519359e-62
4,32,-5.8775705739924242e-60,-5.5746096124300864e-60,-2.0394213320137269e-65,-5.8149974614900234e-114,-1.1452200580635829e-59
4,33,-3.1553191991589799e-57,-2.9926774194339985e-57,-1.0948444094489552e-62,-1.6758703771008882e-108,-6.1480075670370728e-57
4,34,-1.693903820166039e-54,-1.6065910905797008e-54,-5.8775705739924242e-60,-4.8298241563197856e-103,-3.3005007883163134e-54
4,35,-9.0935654077022951e-52,-8.6248351244560107e-52,-3.1553191991589799e-57,-1.3919454451676725e-97,-1.7718432085350298e-51
4,36,-4.8817961704610901e-49,-4.6301626692831365e-49,-1.693903820166039e-54,-4.0115583085728116e-92,-9.5119757787824275e-49
4,37,-2.6207469547360156e-46,-2.4856598456280999e-46,-9.0935654077022951e-52,-1.1561229011486914e-86,-5.106415893929523e-46
4,38,-1.4069236733637285e-43,-1.3344034128987726e-43,-4.8817961704610901e-49,-3.3319225591313788e-81,-2.7413319680586716e-43
4,39,-7.5529391309382388e-41,-7.1636208449348207e-41,-2.6207469547360156e-46,-9.602532679716186e-76,-1.4716586183342606e-40
4,40,-4.0547252559385914e-38,-3.8457233482718613e-38,-1.4069236733637285e-43,-2.7674302817246693e-70,-7.9004626734471868e-38
4,41,-2.1767416122555158e-35,-2.0645408783605026e-35,-7.5529391309382388e-41,-7.9756774797386507e-65,-4.2412900435551491e-35
4,42,-1.1685635271058428e-32,-1.1083296047119202e-32,-4.0547252559385914e-38,-2.2985739399067162e-59,-2.2768971865430189e-32
4,43,-6.2733248135367322e-30,-5.9499645928850601e-30,-2.1767416122555158e-35,-6.6244430904337607e-54,-1.2223311173837915e-29
4,44,-3.3677761887369879e-27,-3.1941832561431654e-27,-1.1685635271058428e-32,-1.9091509520975646e-48,-6.5619711305154237e-27
4,45,-1.8079593827104202e-24,-1.7147676283697255e-24,-6.2733248135367322e-30,-5.5021340030205876e-43,-3.5227332844049592e-24
4,46,-9.7058621070555938e-22,-9.2055708251854313e-22,-3.3677761887369879e-27,-1.5857037681559016e-37,-1.891146661000291e-21
4,47,-5.2105019693501728e-19,-4.941925239052485e-19,-1.8079593827104202e-24,-4.5699658331902276e-32,-1.0152445287996941e-18
4,48,5.2105019693501728e-19,-2.6530266870106898e-16,-9.7058621070555938e-22,-1.2540731767508776e-28,-2.6478258909047011e-16
5,1,-2.02702649171812e-29,-5.5407292196089529e-24,1.0881903545017815e-26,-5.4700400496548463e-44,-5.5298675863288527e-24
5,2,-3.7758434276953903e-32,-1.0320992889820387e-26,-1.0881903545017815e-26,-1.7789955360883378e-47,-2.1202934193272479e-26
5,3,-7.0334520287330665e-35,-1.9225428641185428e-29,-2.02702649171812e-29,-6.1728249796093885e-53,-3.9495763892886914e-29
5,4,-1.3101562177508846e-37,-3.5812165591342205e-32,-3.7758434276953903e-32,-2.141869805512403e-58,-7.3570730883917885e-32
5,5,-2.4404933848969433e-40,-6.6709108456196961e-35,-7.0334520287330665e-35,-7.4319396369084208e-64,-1.3704387279286612e-34
5,6,-4.5460288483386215e-43,-1.2426238619025285e-37,-1.3101562177508846e-37,-2.5787620995682698e-69,-2.5527846256822615e-37
5,7,-8.4681148565373676e-46,-2.3146974946958878e-40,-2.4404933848969433e-40,-8.9478847932840048e-75,-4.7551993477076879e-40
5,8,-1.5773980239856034e-48,-4.3117025644013332e-43,-4.5460288483386215e-43,-3.1047703969004115e-80,-8.8577471867201941e-43
5,9,-2.9382980370806057e-51,-8.031623590756748e-46,-8.4681148565373676e-46,-1.077304797744413e-85,-1.6499767830274489e-45
5,10,-5.4733144225052857e-54,-1.4960906171076977e-48,-1.5773980239856034e-48,-3.7380723173661405e-91,-3.073494114407724e-48
5,11,-1.0195415982161157e-56,-2.7868426717278434e-51,-2.9382980370806057e-51,-1.2970502571895312e-96,-5.7251509042244316e-51
